token address,holder address,holder balance
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x34E040AE65E8CBfde0B8e2F8bBDa396f8f05e46C,9872927138198644857
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5fD4fD0c63E6D2e839088625EE1d2Db25c2AbB79,283522453019300354126
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x4F6607a005e9A54Fca14ADa37205E87958888eB3,235839430246730458119
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xA296aCDB27e992824CFb3138778D929B11D94684,254586449282227144238
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xbC58Cc9De868Dc8776Bf9a831574e5d729EA9b04,282776388459713111378
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xbD453DB7D6f1fc8E9abaC14eF9538503773820F3,367501320202681074231
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5368141c75c5D6AF0e0bEb7813C9F161A54Bf485,230810645716769957277
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x7D6F820cF4c39e4986062368dF0d5b57F2F4CC3C,291313716980268254422
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x2302539Ee57B8736d6eE294b37660c744D61C6B2,485444884836600577134
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x9597bdCe67325C70DD523A5B8230bAc3d8bBa8C1,485337424033427376864
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xAC8A60CAD62C0D4Fc63e957A13D33a91fC427025,485257152401005462586
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x576e13094210Ee6074f23b501f5cb6619e62d107,290078691039030550091
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x42073e2Fe3092eAc576Bab7e8bb0909Ab7a3BD3E,386745901228743298287
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xB49c54EdfE1cFE5ac83e74B179474F6224D0763F,16992580174078576175
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x802E422E4cdd410E50A6983692C2eF800B6D5772,386529532009527810290
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x3432acf0CA9f18a2AE56849f1ad62172891b1049,367192606385330230732
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xFe496aFE1D17F697a807BA8B9F692e8EC86Fe072,338196524944313832257
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xAB4e4F9C9C394D72dbAE834075fd4519D7290456,498817850611258975941
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x440CB773fD88d364b1eFe45c75FDfFAF10Cb497e,498854954017389508939
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x50544864a4fE04FcA8401937B849b48e1E53BCD8,1499730724188738790421
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x4Ae6a8A28c87b75e935a90D6128F2649C969c0D8,532251925208984516088
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0xACC3D48B216EAFbE0F943167c3087E7f0C642D6e,6221057358124497962914
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x87704a8CecbbF36f3D2f785Ef953eD9aFFc82b65,3000000000000000000000
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x4CC9E6fABb800F083a2685501d1A30CdAbb4B2De,483769470213971840337
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x11FA934f6754076AEb7Cf0A72a1c2D2518aA4C77,483698198605021333118
0x1144e14E9B0AA9e181342c7e6E0a9BaDB4ceD295,0x886cf30e5f7C6f69Ef1Be1173a53a6DD04E76966,996252995949612523
