token address,holder address,holder balance
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xf8fe61dc400f46522E9e91B3eb522949d86Bd888,753393490082220363871
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xc7c8e9003CE878c4011695C28a1A0E1Ee2Bb483D,1607456384474043557
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x04248Fe487910f21fA3BE187fc84b0873d1ff1aF,8111967670122925215
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x0B1aDD04206dB11eeB23A15Fd3A87F2b7e153B7a,807696876876586834408
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xCf86aD5358316051255CC5fdd0F54c94E4eeEaB4,858365235421779245808
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xC5e7b677771b8AdFB4E994BFC7ABad1eE8E0dC7b,875680197946304149319
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xF3A65e38F82692e2BFC5c31B4025763e156E3eA3,856460845436430421738
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xbFDB04A4E91355B20B844550fe47e9f495Dc4463,746667953547351302
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5ef4503595e089AF755Ef16a8D352F2f1deD458c,19762104718203805757029
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x2569448fEf8B66f86FaE809cDCE53B5151b3d0C5,175449623327439387980
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x0907a2999bb08cCaA4c630fd53093db0c48EF78e,1969350172768801081
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x733FAd584DF0f735525D64005c25c6658fBaC8d2,4810637274578468
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x6aEFB0862F90E8d6b4C50DA62A7E241Dc90329d3,5338465515486793
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0xdF3A988e9B168C4aAC052CC9cA3Ce099223c0De1,5565456316879200
0x7ACFe277dEd15CabA6a8Da2972b1eb93fe1e2cCD,0x5A30265866028e3F99E03ea59040A482fc9DF038,130548977829334
