Owner,ilkId,seriesId,id
0x205319257Fc9772C0aDd32950Fac182A74dbeb3c,0x303000000000,0x303230350000,0xc6c11a453c13c5235fd3cd49
0x5Ee9b86f3d4C48bB5C72927e1e051466d5b0a41a,0x303200000000,0x303130360000,0x9409350c68327108ef89b0d2
0x17EbEe050C312567aD0038c0a703779401cb0fE0,0x303000000000,0x303230350000,0x68afb6076b4193adec305450
0x9C823aa375DD6775B507bd6C9E80b02f219a9F4e,0x303000000000,0x303230350000,0x362416fe43e880c61195f4c4
0xf654611f80035fAbB6A3582F4880cbf000080141,0x303000000000,0x303230360000,0xcffc01c5e380cc8e07d5ecda
0x33E6Af51b2B25D28074116f0F9b30E7fd1d4A50d,0x303000000000,0x303230350000,0x54e5e47c66d2ab101160defc
0x3e0604a15e47b213A75C08Ff122dBe22cBc56f48,0x303000000000,0x303230350000,0x87bbeac9c4d538d6556e85d5
0x95ea0d3cbF7cBaFa2F4C07CeDb9d2BD632c72587,0x303000000000,0x303230360000,0x7ccf1c30a81e06167289f935
0xa7B27e02104745137ad47cb661A5F5EE1a4F6Fe3,0x303000000000,0x303230350000,0x22323e1defec4f1659642e65
0xFf28CAfB89294b68c62Ae4fd779D56B77140fE1f,0x303000000000,0x303230360000,0x92a18b5bbfc81dcb02c5ed2a
0x5475727B412D23BEb02Dbba8B9377559Ecd82b5c,0x303000000000,0x303230350000,0x14cd856c6a0c07e1ed0341ba
0xf8fd824c19Be32923Ba1cD2352Cf740055eEd223,0x303000000000,0x303230350000,0xd50073138aba3b8757019ded
0x716A408B2872EBa7e6c54E94c1B9bD916Dd9cd91,0x303000000000,0x303230350000,0xdd8dfd81f51c7a9d50c6af75
0x13baA80a256CE171485224D7a427E594125F18Fa,0x303200000000,0x303230360000,0xe239054d793a48cb7878b1a7
0x3299D31829573e377c6686D5b46615Af2fc135D9,0x303000000000,0x303230350000,0xf40531d8f95d16f2340ef55d
0xf8fd824c19Be32923Ba1cD2352Cf740055eEd223,0x303200000000,0x303230360000,0x934c1a6ad7dfbc65b86a3a3d
0x13baA80a256CE171485224D7a427E594125F18Fa,0x303000000000,0x303230350000,0xf0f467ada277f3e1962e725a
0xd7b26011E6eB5857a6251da1f77E9f3d8AaC4489,0x303000000000,0x303130350000,0x992712d183630c4b8112dc38
